2025-11-17 09:19:36,756 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:19:36] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:21:45,236 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:21:45] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:26:26,336 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:26:26] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:29:03,795 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:29:03] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:31:41,480 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:31:41] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:34:20,746 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:34:20] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:36:34,893 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:36:34] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:41:29,039 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:41:29] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:55:14,758 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:14] "GET / HTTP/1.1" 200 -
2025-11-17 09:55:14,849 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:14] "GET /static/css/style.css HTTP/1.1" 200 -
2025-11-17 09:55:14,853 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:14] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-17 09:55:15,523 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:15] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-17 09:55:21,286 | DEBUG    | get_gemini_weather:165 | Gemini error: 'parts'
2025-11-17 09:55:21,286 | DEBUG    | get_gemini_weather:165 | Gemini error: 'parts'
2025-11-17 09:55:22,410 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:22] "POST /api/weather HTTP/1.1" 200 -
2025-11-17 09:55:29,372 | INFO     | get_hourly:441 | Hourly forecast requested for: 22.5804769, 88.4516516
2025-11-17 09:55:29,372 | INFO     | get_hourly:441 | Hourly forecast requested for: 22.5804769, 88.4516516
2025-11-17 09:55:29,374 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5804769,88.4516516
2025-11-17 09:55:29,374 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5804769,88.4516516
2025-11-17 09:55:29,765 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
2025-11-17 09:55:29,765 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
2025-11-17 09:55:29,767 | INFO     | get_hourly:482 | Returning 24 hours of real forecast data
2025-11-17 09:55:29,767 | INFO     | get_hourly:482 | Returning 24 hours of real forecast data
2025-11-17 09:55:29,769 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:29] "POST /api/hourly HTTP/1.1" 200 -
2025-11-17 09:55:41,733 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:55:41] "[33mPOST /api/forecast HTTP/1.1[0m" 404 -
2025-11-17 09:56:04,896 | INFO     | get_chatbot_response:356 | Gemini chat success
2025-11-17 09:56:04,896 | INFO     | get_chatbot_response:356 | Gemini chat success
2025-11-17 09:56:04,903 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:56:04] "POST /api/chatbot HTTP/1.1" 200 -
2025-11-17 09:56:36,823 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:56:36] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 09:58:32,934 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 09:58:32] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:11:55,438 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:11:55] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:14:26,825 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:14:26] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:17:11,259 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:17:11] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:27:03,444 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:27:03] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:29:28,999 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 10:29:28] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 10:47:57,683 | INFO     | <module>:661 | ======================================================================
2025-11-17 10:47:57,683 | INFO     | <module>:661 | ======================================================================
2025-11-17 10:47:57,689 | INFO     | <module>:662 | FlintWeatherAI v1.0 Starting
2025-11-17 10:47:57,689 | INFO     | <module>:662 | FlintWeatherAI v1.0 Starting
2025-11-17 10:47:57,690 | INFO     | <module>:663 | ======================================================================
2025-11-17 10:47:57,690 | INFO     | <module>:663 | ======================================================================
2025-11-17 10:47:57,690 | INFO     | <module>:664 | Gemini: Enabled
2025-11-17 10:47:57,690 | INFO     | <module>:664 | Gemini: Enabled
2025-11-17 10:47:57,690 | INFO     | <module>:665 | Weather API: Configured
2025-11-17 10:47:57,690 | INFO     | <module>:665 | Weather API: Configured
2025-11-17 10:47:57,690 | INFO     | <module>:666 | ======================================================================
2025-11-17 10:47:57,690 | INFO     | <module>:666 | ======================================================================
2025-11-17 10:47:57,720 | INFO     | _log:187 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
